Date	Temperature (degree Celsius)	Daily Avg. Synechococcus (cells/mL)	Division rate (1/d)	Loss rate (1/d)
01-Jan-2003	 4.21	      NaN	  NaN	   NaN
02-Jan-2003	 4.06	      NaN	  NaN	   NaN
03-Jan-2003	 3.68	      NaN	  NaN	   NaN
04-Jan-2003	 3.74	      NaN	  NaN	   NaN
05-Jan-2003	 3.82	      NaN	  NaN	   NaN
06-Jan-2003	 4.05	      NaN	  NaN	   NaN
07-Jan-2003	 3.89	      NaN	  NaN	   NaN
08-Jan-2003	 3.41	      NaN	  NaN	   NaN
09-Jan-2003	 3.37	      NaN	  NaN	   NaN
10-Jan-2003	 3.41	      NaN	  NaN	   NaN
11-Jan-2003	 3.40	      NaN	  NaN	   NaN
12-Jan-2003	 3.44	      NaN	  NaN	   NaN
13-Jan-2003	 3.61	      NaN	  NaN	   NaN
14-Jan-2003	 3.55	      NaN	  NaN	   NaN
15-Jan-2003	 2.98	      NaN	  NaN	   NaN
16-Jan-2003	 2.79	      NaN	  NaN	   NaN
17-Jan-2003	 2.46	      NaN	  NaN	   NaN
18-Jan-2003	 1.65	      NaN	  NaN	   NaN
19-Jan-2003	 1.11	      NaN	  NaN	   NaN
20-Jan-2003	 1.76	      NaN	  NaN	   NaN
21-Jan-2003	 2.26	      NaN	  NaN	   NaN
22-Jan-2003	 2.04	      NaN	  NaN	   NaN
23-Jan-2003	 1.63	      NaN	  NaN	   NaN
24-Jan-2003	 0.96	      NaN	  NaN	   NaN
25-Jan-2003	 0.71	      NaN	  NaN	   NaN
26-Jan-2003	 0.21	      NaN	  NaN	   NaN
27-Jan-2003	-0.14	      NaN	  NaN	   NaN
28-Jan-2003	-0.23	      NaN	  NaN	   NaN
29-Jan-2003	-0.13	      NaN	  NaN	   NaN
30-Jan-2003	-0.74	      NaN	  NaN	   NaN
31-Jan-2003	-0.63	      NaN	  NaN	   NaN
01-Feb-2003	 0.39	      NaN	  NaN	   NaN
02-Feb-2003	 0.34	      NaN	  NaN	   NaN
03-Feb-2003	 0.35	      NaN	  NaN	   NaN
04-Feb-2003	 0.44	      NaN	  NaN	   NaN
05-Feb-2003	 0.74	      NaN	  NaN	   NaN
06-Feb-2003	 1.09	      NaN	  NaN	   NaN
07-Feb-2003	 0.88	      NaN	  NaN	   NaN
08-Feb-2003	 0.49	      NaN	  NaN	   NaN
09-Feb-2003	 0.92	      NaN	  NaN	   NaN
10-Feb-2003	 1.04	      NaN	  NaN	   NaN
11-Feb-2003	 0.70	      NaN	  NaN	   NaN
12-Feb-2003	 0.96	      NaN	  NaN	   NaN
13-Feb-2003	 1.06	      NaN	  NaN	   NaN
14-Feb-2003	 0.96	      NaN	  NaN	   NaN
15-Feb-2003	 0.70	      NaN	  NaN	   NaN
16-Feb-2003	 0.16	      NaN	  NaN	   NaN
17-Feb-2003	-0.83	      NaN	  NaN	   NaN
18-Feb-2003	-1.44	      NaN	  NaN	   NaN
19-Feb-2003	-1.42	      NaN	  NaN	   NaN
20-Feb-2003	-1.14	      NaN	  NaN	   NaN
21-Feb-2003	-0.72	      NaN	  NaN	   NaN
22-Feb-2003	-0.55	      NaN	  NaN	   NaN
23-Feb-2003	-0.42	      NaN	  NaN	   NaN
24-Feb-2003	-0.19	      NaN	  NaN	   NaN
25-Feb-2003	-0.09	      NaN	  NaN	   NaN
26-Feb-2003	-0.30	      NaN	  NaN	   NaN
27-Feb-2003	-0.43	      NaN	  NaN	   NaN
28-Feb-2003	-0.20	      NaN	  NaN	   NaN
01-Mar-2003	-0.10	      NaN	  NaN	   NaN
02-Mar-2003	-0.08	      NaN	  NaN	   NaN
03-Mar-2003	 0.19	      NaN	  NaN	   NaN
04-Mar-2003	-0.09	      NaN	  NaN	   NaN
05-Mar-2003	 0.22	      NaN	  NaN	   NaN
06-Mar-2003	 0.28	      NaN	  NaN	   NaN
07-Mar-2003	 0.07	      NaN	  NaN	   NaN
08-Mar-2003	 0.17	      NaN	  NaN	   NaN
09-Mar-2003	 0.68	      NaN	  NaN	   NaN
10-Mar-2003	 0.72	      NaN	  NaN	   NaN
11-Mar-2003	 0.25	      NaN	  NaN	   NaN
12-Mar-2003	 0.39	      NaN	  NaN	   NaN
13-Mar-2003	 0.68	      NaN	  NaN	   NaN
14-Mar-2003	 0.53	      NaN	  NaN	   NaN
15-Mar-2003	 0.59	      NaN	  NaN	   NaN
16-Mar-2003	 0.76	      NaN	  NaN	   NaN
17-Mar-2003	 1.23	      NaN	  NaN	   NaN
18-Mar-2003	 1.58	      NaN	  NaN	   NaN
19-Mar-2003	 1.78	      NaN	  NaN	   NaN
20-Mar-2003	 1.88	      NaN	  NaN	   NaN
21-Mar-2003	 2.38	      NaN	  NaN	   NaN
22-Mar-2003	 2.67	      NaN	  NaN	   NaN
23-Mar-2003	 2.82	      NaN	  NaN	   NaN
24-Mar-2003	 3.09	      NaN	  NaN	   NaN
25-Mar-2003	 3.29	      NaN	  NaN	   NaN
26-Mar-2003	  NaN	      NaN	  NaN	   NaN
27-Mar-2003	  NaN	      NaN	  NaN	   NaN
28-Mar-2003	  NaN	      NaN	  NaN	   NaN
29-Mar-2003	  NaN	      NaN	  NaN	   NaN
30-Mar-2003	  NaN	      NaN	  NaN	   NaN
31-Mar-2003	  NaN	      NaN	  NaN	   NaN
01-Apr-2003	  NaN	      NaN	  NaN	   NaN
02-Apr-2003	  NaN	      NaN	  NaN	   NaN
03-Apr-2003	  NaN	      NaN	  NaN	   NaN
04-Apr-2003	  NaN	      NaN	  NaN	   NaN
05-Apr-2003	  NaN	      NaN	  NaN	   NaN
06-Apr-2003	  NaN	      NaN	  NaN	   NaN
07-Apr-2003	  NaN	      NaN	  NaN	   NaN
08-Apr-2003	  NaN	      NaN	  NaN	   NaN
09-Apr-2003	  NaN	      NaN	  NaN	   NaN
10-Apr-2003	  NaN	      NaN	  NaN	   NaN
11-Apr-2003	  NaN	      NaN	  NaN	   NaN
12-Apr-2003	  NaN	      NaN	  NaN	   NaN
13-Apr-2003	  NaN	      NaN	  NaN	   NaN
14-Apr-2003	 5.32	      NaN	  NaN	   NaN
15-Apr-2003	 5.58	      NaN	  NaN	   NaN
16-Apr-2003	 6.00	      NaN	  NaN	   NaN
17-Apr-2003	 6.19	      NaN	  NaN	   NaN
18-Apr-2003	 5.77	      NaN	  NaN	   NaN
19-Apr-2003	 5.78	      NaN	  NaN	   NaN
20-Apr-2003	 5.87	      NaN	  NaN	   NaN
21-Apr-2003	 6.05	      NaN	  NaN	   NaN
22-Apr-2003	 6.33	      NaN	  NaN	   NaN
23-Apr-2003	 6.54	      NaN	  NaN	   NaN
24-Apr-2003	 6.83	      NaN	  NaN	   NaN
25-Apr-2003	 6.91	      NaN	  NaN	   NaN
26-Apr-2003	 6.92	      NaN	  NaN	   NaN
27-Apr-2003	 6.91	      NaN	  NaN	   NaN
28-Apr-2003	 6.99	      NaN	  NaN	   NaN
29-Apr-2003	 7.43	      NaN	  NaN	   NaN
30-Apr-2003	 7.69	      NaN	  NaN	   NaN
01-May-2003	 8.09	      NaN	  NaN	   NaN
02-May-2003	 8.23	      NaN	  NaN	   NaN
03-May-2003	 8.71	      NaN	  NaN	   NaN
04-May-2003	 8.98	      NaN	  NaN	   NaN
05-May-2003	 8.97	      NaN	  NaN	   NaN
06-May-2003	 9.32	      NaN	  NaN	   NaN
07-May-2003	 9.39	      NaN	  NaN	   NaN
08-May-2003	 9.52	      NaN	  NaN	   NaN
09-May-2003	 9.39	      NaN	  NaN	   NaN
10-May-2003	 9.33	   312.96	  NaN	   NaN
11-May-2003	 9.77	   369.58	0.690	 0.433
12-May-2003	 9.81	   504.06	1.000	 0.677
13-May-2003	10.21	   724.79	0.864	 0.599
14-May-2003	10.25	   928.06	0.902	 0.659
15-May-2003	10.07	  1054.60	  NaN	   NaN
16-May-2003	10.37	  1342.80	  NaN	   NaN
17-May-2003	10.12	  1673.42	  NaN	   NaN
18-May-2003	10.40	  1953.16	  NaN	   NaN
19-May-2003	10.55	      NaN	  NaN	   NaN
20-May-2003	11.24	      NaN	  NaN	   NaN
21-May-2003	11.59	      NaN	  NaN	   NaN
22-May-2003	11.61	      NaN	  NaN	   NaN
23-May-2003	11.30	      NaN	  NaN	   NaN
24-May-2003	11.14	      NaN	  NaN	   NaN
25-May-2003	11.33	      NaN	  NaN	   NaN
26-May-2003	11.38	      NaN	  NaN	   NaN
27-May-2003	11.05	      NaN	  NaN	   NaN
28-May-2003	11.64	  2635.74	  NaN	   NaN
29-May-2003	11.97	  3401.06	1.108	 1.023
30-May-2003	12.02	  3581.99	1.393	 1.290
31-May-2003	11.88	  4001.25	1.155	 1.022
01-Jun-2003	11.67	  4913.08	  NaN	   NaN
