Date	Daily Avg. Synechococcus (cells/mL)	Division rate (1/d)	Loss rate (1/d)	Net growth rate (1/d)	Daily minimum mode of cell volume (um^3)	PE fluorescence at dawn	PE fluorescence at dawn normalized by cell volume at dawn (1/um^3)	Temperature (degree Celsius)	Daily incident radiation (MJ/um^2)
01-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 4.21	 2.11
02-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 4.06	 1.84
03-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 3.68	 1.53
04-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 3.74	 3.38
05-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 3.82	 8.14
06-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 4.04	 1.28
07-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 3.89	 4.69
08-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 3.41	 4.05
09-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 3.37	 4.11
10-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 3.41	 6.51
11-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 3.40	 8.14
12-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 3.44	 8.79
13-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 3.60	 7.27
14-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 3.55	 8.81
15-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 2.98	 8.78
16-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 2.80	 8.74
17-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 2.46	 3.61
18-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 1.65	 9.67
19-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 1.11	 6.38
20-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 1.77	 7.00
21-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 2.26	10.12
22-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 2.04	10.26
23-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 1.64	 8.20
24-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.96	10.46
25-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.72	 6.95
26-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.22	 5.49
27-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.13	 8.46
28-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.22	10.44
29-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.12	 2.95
30-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.73	 5.13
31-Jan-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.63	 1.63
01-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.38	 2.04
02-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.33	 3.00
03-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.34	10.79
04-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.43	 3.67
05-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.73	11.49
06-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 1.09	11.14
07-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.87	 1.73
08-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.49	13.83
09-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.91	13.33
10-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 1.04	 3.81
11-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.70	13.70
12-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.95	10.26
13-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 1.06	13.61
14-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.96	14.55
15-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.70	10.41
16-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.16	 5.35
17-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.83	 1.76
18-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-1.44	 7.86
19-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-1.42	13.78
20-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-1.13	16.01
21-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.72	15.41
22-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.55	 3.05
23-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.42	 4.39
24-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.19	11.86
25-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.09	16.83
26-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.30	11.32
27-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.43	16.57
28-Feb-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.20	 9.41
01-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.10	16.56
02-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.07	 2.00
03-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.19	18.96
04-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	-0.08	17.49
05-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.23	 2.44
06-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.29	 1.76
07-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.08	17.66
08-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.18	19.53
09-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.69	16.13
10-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.72	19.99
11-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.25	19.48
12-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.40	11.22
13-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.69	 3.93
14-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.54	19.21
15-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.60	12.71
16-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 0.77	18.12
17-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 1.24	15.68
18-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 1.59	10.34
19-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 1.79	20.16
20-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 1.88	15.97
21-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 2.38	 2.00
22-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 2.67	 5.09
23-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 2.82	21.00
24-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 3.10	19.39
25-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 3.30	  NaN
26-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	  NaN
27-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	21.50
28-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	22.53
29-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	12.38
30-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	 1.76
31-Mar-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	10.54
01-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	19.05
02-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	18.44
03-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	10.19
04-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	 3.76
05-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	 2.86
06-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	24.99
07-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	 5.23
08-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	 6.67
09-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	 3.45
10-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	22.16
11-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	 3.22
12-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	 7.13
13-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	  NaN	23.49
14-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 5.32	26.02
15-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 5.58	24.04
16-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 6.00	23.25
17-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 6.19	19.84
18-Apr-2003	      NaN	  NaN	   NaN	   NaN	  NaN	  NaN	  NaN	 5.77	21.04
